Bupleurum rotundifolium
Bupleurum semicompositum
Bupleurum tenuissimum
Cachrys libanotis
Cachrys sicula
Caropsis verticillato-inundata
Carum verticillatum
Caucalis platycarpos
Chaerophyllum temulum
Conium maculatum
Conopodium majus subsp. marizianum
Conopodium marianum
Conopodium pyrenaeum
Conopodium subcarneum
Crithmum maritimum
Daucus carota subsp. carota
Daucus carota subsp. gummifer
Daucus carota subsp. maximus
Daucus crinitus
Daucus durieua
Daucus muricatus
Daucus setifolius
Daucus arcanus
Distichoselinum tenuifolium
Elaeoselinum foetidum
Eryngium campestre
Eryngium corniculatum
Eryngium dilatatum
Eryngium galioides
Eryngium maritimum
Eryngium tenue
Ferula communis subsp. catalaunica
Ferula tingitana
Ferulago capillaris
Foeniculum vulgare
Heracleum sphondylium subsp. granatense
Heracleum sphondylium subsp. sphondylium
Hydrocotyle vulgaris
Kundmannia sicula
Lagoecia cuminoides
Laserpitium eliasii
Laserpitium prutenicum subsp. dufourianum
Magydaris panacifolia
Margotia gummifera
Myrrhoides nodosa
Oenanthe crocata
Oenanthe fistulosa
Oenanthe globulosa
Oenanthe lachenalii
Oenanthe pimpinelloides
Oenanthe silaifolia
Orlaya daucoides
Petroselinum segetum
Peucedanum carvifolia
Peucedanum gallicum
Peucedanum lancifolium
Peucedanum officinale subsp. officinale
Peucedanum oreoselinum
Physospermum cornubiense
Pimpinella villosa
Pimpinella major
Prangos trifida
Pseudorlaya minuscula
Pseudorlaya pumila
Ridolfia segetum
Sanicula europaea
Scandix australis subsp. australis
Scandix pecten-veneris subsp. pecten-veneris
Selinum broteri
Seseli montanum subsp. peixotoanum
Seseli tortuosum
Smyrnium olusatrum
Smyrnium perfoliatum
Thapsia minor
Thapsia nitida var. nitida
Thapsia nitida var. meridionalis
Thapsia transtagana
Thapsia villosa var. villosa
Thapsia villosa var. dissecta
Tordylium apulum
Tordylium maximum
Torilis arvensis subsp. purpurea
Torilis arvensis subsp. recta
Torilis arvensis subsp. neglecta
Torilis elongata
Torilis japonica
Torilis leptophylla
Torilis nodosa
Turgenia latifolia
Krubera peregrina
Hedera hibernica
Hedera maderensis subsp. iberica
Nerium oleander
Vinca difformis subsp. difformis
Cynanchum acutum subsp. acutum
Vincetoxicum hirundinaria
Vincetoxicum nigrum
Blackstonia acuminata subsp. acuminata
Blackstonia acuminata subsp. aestiva
Blackstonia imperfoliata
Blackstonia perfoliata subsp. perfoliata
Blackstonia perfoliata subsp. intermedia
Centaurium chloodes
Centaurium erythraea subsp. erythraea
Centaurium erythraea subsp. grandiflorum
Centaurium erythraea subsp. turcicum
Centaurium littorale subsp. littorale
Centaurium majus subsp. majus
Centaurium maritimum
Centaurium microcalyx
Centaurium pulchellum
Centaurium portense
Centaurium tenuiflorum
Cicendia filiformis
Exaculum pusillum
Gentiana pneumonanthe
Asperula aristata subsp. scabra
Asperula arvensis
